,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
2522,847662484769188482460,Vesey-Goodrow-Rempe,NYR,line,2282,26,7,5on5,Vesey,Goodrow,Rempe
2523,847795384802818482784,Toropchenko-Dean-Kapanen,STL,line,918,15,3,5on5,Toropchenko,Dean,Kapanen
2524,847938584800238482089,Neighbours-Thomas-Kyrou,STL,line,1084,139,10,5on5,Neighbours,Thomas,Kyrou
2525,847344984788318478904,Lorentz-Stenlund-Okposo,FLA,line,1056,16,3,5on5,Lorentz,Stenlund,Okposo
2527,847639384790668480185,Lomberg-Luostarinen-Cousins,FLA,line,1129,33,5,5on5,Lomberg,Luostarinen,Cousins
2528,847518484764598482109,Lafreniere-Zibanejad-Kreider,NYR,line,970,295,25,5on5,Lafreniere,Zibanejad,Kreider
2530,847844984800278482740,Robertson-Hintz-Johnston,DAL,line,6687,39,13,5on5,Robertson,Hintz,Johnston
2531,848102484815358482496,Hoglander-Aman-Karlsson,VAN,line,1106,13,3,5on5,Hoglander,Aman,Karlsson
2532,847883184790668479367,Lomberg-Stenlund-Lockwood,FLA,line,3212,151,17,5on5,Lomberg,Stenlund,Lockwood
2533,847682284778398479591,Sheary-Glendening-Eyssimont,TBL,line,2651,148,15,5on5,Sheary,Glendening,Eyssimont
2534,847062184808028482077,Holloway-Mcleod-Perry,EDM,line,4435,94,13,5on5,Holloway,Mcleod,Perry
2535,847648084774978480113,Iafallo-Monahan-Namestnikov,WPG,line,985,57,6,5on5,Iafallo,Monahan,Namestnikov
2536,847804684784018478498,Heinen-Zacha-Debrusk,BOS,line,1006,279,17,5on5,Heinen,Zacha,Debrusk
2537,847579884801888482133,Zetterlund-Granlund-Bordeleau,SJS,line,713,55,6,5on5,Zetterlund,Granlund,Bordeleau
2539,847999684807488482146,Sherwood-Glass-Evangelista,NSH,line,668,25,3,5on5,Sherwood,Glass,Evangelista
2540,847798784793908484144,Donato-Bedard-Raddysh,CHI,line,726,80,6,5on5,Donato,Bedard,Raddysh
2542,847464184751648480870,Groulx-Henrique-Silfverberg,ANA,line,1543,58,8,5on5,Groulx,Henrique,Silfverberg
2543,847629284784148482110,Palat-Meier-Mercer,NJD,line,1424,87,8,5on5,Palat,Meier,Mercer
2544,847121884766248476918,Vesey-Goodrow-Wheeler,NYR,line,1943,84,11,5on5,Vesey,Goodrow,Wheeler
2545,847571484827208483489,Knies-Minten-Jarnkrok,TOR,line,832,7,2,5on5,Knies,Minten,Jarnkrok
2547,847662484769188481726,Vesey-Goodrow-Edstrom,NYR,line,2015,43,9,5on5,Vesey,Goodrow,Edstrom
2548,847342284748708479315,Johnson-Foligno-Anderson,CHI,line,1166,41,5,5on5,Johnson,Foligno,Anderson
2549,847749484795258481186,Drouin-Colton-O'Connor,COL,line,875,83,8,5on5,Drouin,Colton,O'Connor
2550,847516984764548477406,Kane-Nugent-Hopkins-Janmark,EDM,line,2963,48,8,5on5,Kane,Nugent-Hopkins,Janmark
